,id,vlr_transacao,des_transacao,data_movimento,id_cartao
0,4806338,713485.24,Credito,2019-03-19 13:44:00,835022
1,7729323,632460.26,Debito,2006-08-26 13:40:00,296796
2,5281295,367160.84,Credito,2006-08-12 09:04:00,274383
3,17551,849554.02,Credito,2014-04-23 11:16:00,914774
4,5067052,891595.86,Credito,2017-11-20 11:07:00,340079
5,1526746,883780.15,Debito,2014-09-17 10:29:00,650151
6,3654237,442215.07,Credito,2015-01-15 11:41:00,13456
7,913285,627838.91,Debito,2020-08-21 13:15:00,96444
8,5217288,803423.76,Debito,2015-06-19 15:08:00,802119
9,923343,908670.79,Debito,2017-03-18 15:17:00,678582
10,9035961,836095.95,Credito,2018-07-21 15:59:00,663548
11,3069434,77871.6,Debito,2015-12-09 16:09:00,561297
12,6750131,601286.29,Credito,2016-01-20 13:07:00,192825
13,2473042,778592.19,Credito,2013-11-05 13:22:00,369586
14,4168224,453236.73,Credito,2013-08-11 16:23:00,832600
15,8239390,293121.46,Credito,2021-08-08 10:59:00,600762
16,3139541,894316.1,Credito,2013-01-13 14:44:00,204680
17,7527816,261367.09,Debito,2017-07-27 16:59:00,993186
18,4416668,863907.22,Credito,2013-10-19 10:44:00,186703
19,3683736,2652.13,Debito,2017-07-25 15:27:00,623963
20,5702256,886366.92,Credito,2021-03-30 16:49:00,156546
21,959187,792787.23,Debito,2010-11-28 11:44:00,103906
22,4203981,121744.58,Credito,2021-08-10 09:28:00,781666
23,1545458,372003.18,Credito,2022-07-26 10:19:00,585572
24,7036356,409713.67,Credito,2014-06-13 15:29:00,85497
25,105292,580417.58,Credito,2007-05-13 09:06:00,330292
26,2255096,819075.98,Debito,2005-08-30 10:23:00,613312
27,530478,611651.04,Debito,2011-05-30 15:15:00,409602
28,7198910,222125.43,Debito,2017-02-23 09:08:00,540782
29,5095121,992145.99,Debito,2008-03-25 12:34:00,67507
30,6410998,230245.32,Debito,2009-05-29 12:29:00,827404
31,2528487,704716.34,Debito,2010-02-26 10:01:00,23543
32,9232615,841706.68,Debito,2017-11-07 13:53:00,704477
33,7000280,549247.83,Credito,2020-02-06 12:18:00,112636
34,9677214,700886.19,Credito,2021-11-03 10:57:00,443085
35,3168232,453670.25,Credito,2021-09-21 14:52:00,600144
36,2581893,239059.96,Credito,2021-01-08 09:29:00,671170
37,6699105,928987.88,Debito,2018-04-18 10:44:00,467147
38,2301292,70338.64,Debito,2009-09-21 10:50:00,906561
